created_at,id_str,retweet_count
"Wed Jan 11 05:08:13 +0000 2023","1613040059078303744",2325
"Wed Jan 11 05:08:12 +0000 2023","1613040053571276801",0
"Wed Jan 11 05:08:12 +0000 2023","1613040053235908608",870
"Wed Jan 11 05:08:12 +0000 2023","1613040052745166849",339
"Wed Jan 11 05:08:11 +0000 2023","1613040052090863616",689
"Wed Jan 11 05:08:11 +0000 2023","1613040051382022145",0
"Wed Jan 11 05:08:11 +0000 2023","1613040050517999617",299
"Wed Jan 11 05:08:10 +0000 2023","1613040047762329602",186
"Wed Jan 11 05:08:10 +0000 2023","1613040047321763840",2312
"Wed Jan 11 05:08:10 +0000 2023","1613040046059229184",388
"Wed Jan 11 05:08:10 +0000 2023","1613040046034288640",0
"Wed Jan 11 05:08:10 +0000 2023","1613040045216378880",0
"Wed Jan 11 05:08:09 +0000 2023","1613040043999825920",20610
"Wed Jan 11 05:08:09 +0000 2023","1613040043563618304",2521
"Wed Jan 11 05:08:09 +0000 2023","1613040040157782016",4
"Wed Jan 11 05:08:08 +0000 2023","1613040038027358209",240
"Wed Jan 11 05:08:08 +0000 2023","1613040036873633793",4247
"Wed Jan 11 05:08:08 +0000 2023","1613040036714356736",5
"Wed Jan 11 05:08:08 +0000 2023","1613040035892428808",11
"Wed Jan 11 05:08:08 +0000 2023","1613040035829542912",171
"Wed Jan 11 05:08:07 +0000 2023","1613040034642538496",0
"Wed Jan 11 05:08:07 +0000 2023","1613040033463689216",0
"Wed Jan 11 05:08:07 +0000 2023","1613040032822042625",154
"Wed Jan 11 05:08:07 +0000 2023","1613040032633466881",157
"Wed Jan 11 05:08:06 +0000 2023","1613040030829903874",0
"Wed Jan 11 05:08:06 +0000 2023","1613040028837347328",0
"Wed Jan 11 05:08:05 +0000 2023","1613040026467581953",36
"Wed Jan 11 05:08:05 +0000 2023","1613040024450379776",2737
"Wed Jan 11 05:08:05 +0000 2023","1613040024160980992",0
"Wed Jan 11 05:08:04 +0000 2023","1613040022852182016",5532
"Wed Jan 11 05:08:04 +0000 2023","1613040022814351360",7
"Wed Jan 11 05:08:04 +0000 2023","1613040021564440576",20610
"Wed Jan 11 05:08:04 +0000 2023","1613040021463859201",0
"Wed Jan 11 05:08:04 +0000 2023","1613040021337956354",1943
"Wed Jan 11 05:08:04 +0000 2023","1613040021296250882",0
"Wed Jan 11 05:08:04 +0000 2023","1613040021090750464",1096
"Wed Jan 11 05:08:04 +0000 2023","1613040020293648384",4774
"Wed Jan 11 05:08:04 +0000 2023","1613040020121686016",7580
"Wed Jan 11 05:08:04 +0000 2023","1613040019996049410",0
"Wed Jan 11 05:08:04 +0000 2023","1613040019907788803",4412
"Wed Jan 11 05:08:04 +0000 2023","1613040019786334208",2
"Wed Jan 11 05:08:03 +0000 2023","1613040017794007042",4412
"Wed Jan 11 05:08:03 +0000 2023","1613040017521414147",83
"Wed Jan 11 05:08:03 +0000 2023","1613040016799801344",2
"Wed Jan 11 05:08:03 +0000 2023","1613040015994679297",14
"Wed Jan 11 05:08:02 +0000 2023","1613040014086086671",2598
"Wed Jan 11 05:08:02 +0000 2023","1613040013712756739",5859
"Wed Jan 11 05:08:02 +0000 2023","1613040011984928775",0
"Wed Jan 11 05:08:02 +0000 2023","1613040011892645888",2487
"Wed Jan 11 05:08:02 +0000 2023","1613040011284299779",0
"Wed Jan 11 05:08:01 +0000 2023","1613040010399453184",25
"Wed Jan 11 05:08:01 +0000 2023","1613040006507155457",871
"Wed Jan 11 05:08:00 +0000 2023","1613040005181575169",66
"Wed Jan 11 05:08:00 +0000 2023","1613040004724293633",8966
"Wed Jan 11 05:07:59 +0000 2023","1613040001788280832",5
"Wed Jan 11 05:07:59 +0000 2023","1613040000047935488",2
"Wed Jan 11 05:07:59 +0000 2023","1613039999737290753",49
"Wed Jan 11 05:07:59 +0000 2023","1613039998072410112",152
"Wed Jan 11 05:07:58 +0000 2023","1613039997757845504",77
"Wed Jan 11 05:07:58 +0000 2023","1613039993903271937",7716
"Wed Jan 11 05:07:57 +0000 2023","1613039993575858176",5236
"Wed Jan 11 05:07:57 +0000 2023","1613039993496440832",8966
"Wed Jan 11 05:07:57 +0000 2023","1613039992313348101",0
"Wed Jan 11 05:07:57 +0000 2023","1613039992107925507",4774
"Wed Jan 11 05:07:57 +0000 2023","1613039991763902465",871
"Wed Jan 11 05:07:57 +0000 2023","1613039989889040384",69
"Wed Jan 11 05:07:56 +0000 2023","1613039987179802625",327
"Wed Jan 11 05:07:56 +0000 2023","1613039987141885953",1096
"Wed Jan 11 05:07:56 +0000 2023","1613039986894594049",761
"Wed Jan 11 05:07:56 +0000 2023","1613039986043146241",1
"Wed Jan 11 05:07:55 +0000 2023","1613039982964527105",4412
"Wed Jan 11 05:07:55 +0000 2023","1613039981706240004",215
"Wed Jan 11 05:07:54 +0000 2023","1613039980703813639",7
"Wed Jan 11 05:07:54 +0000 2023","1613039980204654594",8966
"Wed Jan 11 05:07:54 +0000 2023","1613039980045115392",2598
"Wed Jan 11 05:07:54 +0000 2023","1613039979667812352",2312
"Wed Jan 11 05:07:54 +0000 2023","1613039979508436993",538
"Wed Jan 11 05:07:54 +0000 2023","1613039977155432448",0
"Wed Jan 11 05:07:54 +0000 2023","1613039977050558464",7580
"Wed Jan 11 05:07:53 +0000 2023","1613039976610140160",5
"Wed Jan 11 05:07:53 +0000 2023","1613039976350101505",7580
"Wed Jan 11 05:07:53 +0000 2023","1613039976031326208",187
"Wed Jan 11 05:07:53 +0000 2023","1613039975645446145",0
"Wed Jan 11 05:07:53 +0000 2023","1613039975280398342",2325
"Wed Jan 11 05:07:53 +0000 2023","1613039974227808260",3840
"Wed Jan 11 05:07:53 +0000 2023","1613039973971939329",148
"Wed Jan 11 05:07:53 +0000 2023","1613039973703503873",0
"Wed Jan 11 05:07:53 +0000 2023","1613039973149863937",6
"Wed Jan 11 05:07:52 +0000 2023","1613039971694219264",7580
"Wed Jan 11 05:07:52 +0000 2023","1613039971606364160",7
"Wed Jan 11 05:07:52 +0000 2023","1613039971526651904",31
"Wed Jan 11 05:07:52 +0000 2023","1613039970826194944",74
"Wed Jan 11 05:07:52 +0000 2023","1613039969861525508",10
"Wed Jan 11 05:07:52 +0000 2023","1613039969270128641",54
"Wed Jan 11 05:07:52 +0000 2023","1613039969236561921",50
"Wed Jan 11 05:07:52 +0000 2023","1613039969165275137",8966
"Wed Jan 11 05:07:51 +0000 2023","1613039967411884032",0
"Wed Jan 11 05:07:51 +0000 2023","1613039965625008130",240
"Wed Jan 11 05:07:51 +0000 2023","1613039964983554049",2980
"Wed Jan 11 05:07:50 +0000 2023","1613039961309167616",10
"Wed Jan 11 05:07:49 +0000 2023","1613039958507274242",12
"Wed Jan 11 05:07:49 +0000 2023","1613039957597212672",4673
"Wed Jan 11 05:07:49 +0000 2023","1613039956477317120",56
"Wed Jan 11 05:07:48 +0000 2023","1613039955898691584",21
"Wed Jan 11 05:07:48 +0000 2023","1613039955898675201",43
"Wed Jan 11 05:07:48 +0000 2023","1613039952329310209",20610
"Wed Jan 11 05:07:47 +0000 2023","1613039950668218369",5556
"Wed Jan 11 05:07:47 +0000 2023","1613039948793257985",871
"Wed Jan 11 05:07:47 +0000 2023","1613039947866333185",77
"Wed Jan 11 05:07:46 +0000 2023","1613039946880946176",24
"Wed Jan 11 05:07:46 +0000 2023","1613039943772942339",1943
"Wed Jan 11 05:07:46 +0000 2023","1613039943772934150",0
"Wed Jan 11 05:07:45 +0000 2023","1613039941973381120",7580
"Wed Jan 11 05:07:44 +0000 2023","1613039935048630272",330
"Wed Jan 11 05:07:43 +0000 2023","1613039931965816832",2521
"Wed Jan 11 05:07:42 +0000 2023","1613039930804174853",257
"Wed Jan 11 05:07:42 +0000 2023","1613039930615234560",0
"Wed Jan 11 05:07:42 +0000 2023","1613039929105473537",0
"Wed Jan 11 05:07:41 +0000 2023","1613039926538272771",5236
"Wed Jan 11 05:07:41 +0000 2023","1613039926420901889",3
"Wed Jan 11 05:07:41 +0000 2023","1613039925619994624",871
"Wed Jan 11 05:07:41 +0000 2023","1613039925338800128",1094
"Wed Jan 11 05:07:41 +0000 2023","1613039925204746242",78
"Wed Jan 11 05:07:41 +0000 2023","1613039924403478528",0
"Wed Jan 11 05:07:41 +0000 2023","1613039922893520896",363
"Wed Jan 11 05:07:40 +0000 2023","1613039921400320001",2325
"Wed Jan 11 05:07:40 +0000 2023","1613039921023057920",0
"Wed Jan 11 05:07:40 +0000 2023","1613039920242692096",171
"Wed Jan 11 05:07:40 +0000 2023","1613039918993006593",167
"Wed Jan 11 05:07:40 +0000 2023","1613039918959235072",7580
"Wed Jan 11 05:07:39 +0000 2023","1613039917457723393",3
"Wed Jan 11 05:07:39 +0000 2023","1613039917415952385",40
"Wed Jan 11 05:07:39 +0000 2023","1613039917226942468",0
"Wed Jan 11 05:07:39 +0000 2023","1613039916392353792",1
"Wed Jan 11 05:07:39 +0000 2023","1613039916270731264",0
"Wed Jan 11 05:07:39 +0000 2023","1613039915021004800",2258
"Wed Jan 11 05:07:39 +0000 2023","1613039914483843072",0
"Wed Jan 11 05:07:38 +0000 2023","1613039911942213634",2598
"Wed Jan 11 05:07:38 +0000 2023","1613039911279509507",154
"Wed Jan 11 05:07:38 +0000 2023","1613039911040344064",10
"Wed Jan 11 05:07:37 +0000 2023","1613039908972634114",16
"Wed Jan 11 05:07:37 +0000 2023","1613039908817362945",2
"Wed Jan 11 05:07:37 +0000 2023","1613039908494446592",228
"Wed Jan 11 05:07:37 +0000 2023","1613039906917617664",5236
"Wed Jan 11 05:07:37 +0000 2023","1613039906623979520",0
"Wed Jan 11 05:07:36 +0000 2023","1613039904891756544",8966
"Wed Jan 11 05:07:36 +0000 2023","1613039903952240642",1943
"Wed Jan 11 05:07:36 +0000 2023","1613039902551064577",29
"Wed Jan 11 05:07:35 +0000 2023","1613039901334990853",577
"Wed Jan 11 05:07:35 +0000 2023","1613039899829014533",2521
"Wed Jan 11 05:07:35 +0000 2023","1613039899275558912",1
