created_at,id_str,retweet_count
"Wed Jan 11 04:56:50 +0000 2023","1613037195853725698",7595
"Wed Jan 11 04:56:50 +0000 2023","1613037195618668544",2604
"Wed Jan 11 04:56:50 +0000 2023","1613037195136491521",0
"Wed Jan 11 04:56:50 +0000 2023","1613037194326704128",205
"Wed Jan 11 04:56:50 +0000 2023","1613037193702019074",7
"Wed Jan 11 04:56:50 +0000 2023","1613037192422596608",537
"Wed Jan 11 04:56:50 +0000 2023","1613037192099803138",0
"Wed Jan 11 04:56:49 +0000 2023","1613037189352521731",0
"Wed Jan 11 04:56:48 +0000 2023","1613037184176771072",200
"Wed Jan 11 04:56:47 +0000 2023","1613037182905622529",1344
"Wed Jan 11 04:56:46 +0000 2023","1613037178728206342",1634
"Wed Jan 11 04:56:46 +0000 2023","1613037177759322112",32
"Wed Jan 11 04:56:46 +0000 2023","1613037177469915137",763
"Wed Jan 11 04:56:46 +0000 2023","1613037176467644417",322
"Wed Jan 11 04:56:46 +0000 2023","1613037175628615680",276
"Wed Jan 11 04:56:45 +0000 2023","1613037173023948800",0
"Wed Jan 11 04:56:45 +0000 2023","1613037172445020160",881
"Wed Jan 11 04:56:44 +0000 2023","1613037170734043137",121
"Wed Jan 11 04:56:44 +0000 2023","1613037170478153728",9
"Wed Jan 11 04:56:44 +0000 2023","1613037170113277955",0
"Wed Jan 11 04:56:44 +0000 2023","1613037169928507393",4248
"Wed Jan 11 04:56:44 +0000 2023","1613037169702060032",32
"Wed Jan 11 04:56:44 +0000 2023","1613037169307705345",668
"Wed Jan 11 04:56:44 +0000 2023","1613037168473083904",0
"Wed Jan 11 04:56:44 +0000 2023","1613037168280178688",20612
"Wed Jan 11 04:56:44 +0000 2023","1613037167797846016",4213
"Wed Jan 11 04:56:43 +0000 2023","1613037165860061185",4
"Wed Jan 11 04:56:43 +0000 2023","1613037165172113408",7595
"Wed Jan 11 04:56:43 +0000 2023","1613037164824256513",0
"Wed Jan 11 04:56:43 +0000 2023","1613037164018958336",2604
"Wed Jan 11 04:56:42 +0000 2023","1613037160986206209",0
"Wed Jan 11 04:56:42 +0000 2023","1613037160982261760",763
"Wed Jan 11 04:56:42 +0000 2023","1613037160432541696",1945
"Wed Jan 11 04:56:42 +0000 2023","1613037159451074560",0
"Wed Jan 11 04:56:41 +0000 2023","1613037156209168387",2519
"Wed Jan 11 04:56:41 +0000 2023","1613037155219275777",7595
"Wed Jan 11 04:56:40 +0000 2023","1613037153759657985",750
"Wed Jan 11 04:56:40 +0000 2023","1613037153004711938",0
"Wed Jan 11 04:56:40 +0000 2023","1613037152543346688",0
"Wed Jan 11 04:56:40 +0000 2023","1613037152308281344",0
"Wed Jan 11 04:56:40 +0000 2023","1613037152006246401",0
"Wed Jan 11 04:56:39 +0000 2023","1613037148827160577",1052
"Wed Jan 11 04:56:39 +0000 2023","1613037148751396864",0
"Wed Jan 11 04:56:39 +0000 2023","1613037148521000962",390
"Wed Jan 11 04:56:39 +0000 2023","1613037146163625984",0
"Wed Jan 11 04:56:38 +0000 2023","1613037144293117953",1
"Wed Jan 11 04:56:37 +0000 2023","1613037141067714566",294
"Wed Jan 11 04:56:37 +0000 2023","1613037140606128134",0
"Wed Jan 11 04:56:37 +0000 2023","1613037140136595463",881
"Wed Jan 11 04:56:37 +0000 2023","1613037140027539461",0
"Wed Jan 11 04:56:37 +0000 2023","1613037139536617472",1
"Wed Jan 11 04:56:37 +0000 2023","1613037138592911361",271
"Wed Jan 11 04:56:37 +0000 2023","1613037138169237507",0
"Wed Jan 11 04:56:36 +0000 2023","1613037137393246209",0
"Wed Jan 11 04:56:36 +0000 2023","1613037136793726983",227
"Wed Jan 11 04:56:36 +0000 2023","1613037136764370946",0
"Wed Jan 11 04:56:36 +0000 2023","1613037135355080705",294
"Wed Jan 11 04:56:36 +0000 2023","1613037135241826304",24
"Wed Jan 11 04:56:36 +0000 2023","1613037134172295173",9
"Wed Jan 11 04:56:36 +0000 2023","1613037133710905345",1
"Wed Jan 11 04:56:35 +0000 2023","1613037132276453377",1
"Wed Jan 11 04:56:34 +0000 2023","1613037128405094400",9
"Wed Jan 11 04:56:34 +0000 2023","1613037127801143296",39
"Wed Jan 11 04:56:34 +0000 2023","1613037127801139202",54
"Wed Jan 11 04:56:34 +0000 2023","1613037127763124224",792
"Wed Jan 11 04:56:34 +0000 2023","1613037127562067968",260
"Wed Jan 11 04:56:34 +0000 2023","1613037126840352768",45
"Wed Jan 11 04:56:33 +0000 2023","1613037123682336771",0
"Wed Jan 11 04:56:33 +0000 2023","1613037122805731328",881
"Wed Jan 11 04:56:33 +0000 2023","1613037122285355009",155
"Wed Jan 11 04:56:33 +0000 2023","1613037121278988288",2313
"Wed Jan 11 04:56:33 +0000 2023","1613037120674832385",0
"Wed Jan 11 04:56:32 +0000 2023","1613037120314040320",86
"Wed Jan 11 04:56:32 +0000 2023","1613037119525588992",0
"Wed Jan 11 04:56:32 +0000 2023","1613037118271508481",0
"Wed Jan 11 04:56:31 +0000 2023","1613037115121569793",657
"Wed Jan 11 04:56:31 +0000 2023","1613037114484199424",219
"Wed Jan 11 04:56:31 +0000 2023","1613037113691209728",8
"Wed Jan 11 04:56:31 +0000 2023","1613037112764387328",504
"Wed Jan 11 04:56:31 +0000 2023","1613037112395452417",77
"Wed Jan 11 04:56:30 +0000 2023","1613037111690534912",164
"Wed Jan 11 04:56:30 +0000 2023","1613037108800651265",8971
"Wed Jan 11 04:56:29 +0000 2023","1613037106762481665",6
"Wed Jan 11 04:56:29 +0000 2023","1613037106473107463",466
"Wed Jan 11 04:56:29 +0000 2023","1613037106334699521",1
"Wed Jan 11 04:56:29 +0000 2023","1613037104358952960",881
"Wed Jan 11 04:56:29 +0000 2023","1613037104052805632",16
"Wed Jan 11 04:56:28 +0000 2023","1613037103256072193",5532
"Wed Jan 11 04:56:28 +0000 2023","1613037103184592897",0
"Wed Jan 11 04:56:28 +0000 2023","1613037102156890113",5239
"Wed Jan 11 04:56:28 +0000 2023","1613037101645451264",3874
"Wed Jan 11 04:56:28 +0000 2023","1613037101188276224",2
"Wed Jan 11 04:56:28 +0000 2023","1613037100147908609",0
"Wed Jan 11 04:56:27 +0000 2023","1613037098956914688",1
"Wed Jan 11 04:56:27 +0000 2023","1613037098562461700",69
"Wed Jan 11 04:56:27 +0000 2023","1613037096435941376",97
"Wed Jan 11 04:56:26 +0000 2023","1613037094175404032",0
"Wed Jan 11 04:56:26 +0000 2023","1613037093420257280",482
"Wed Jan 11 04:56:26 +0000 2023","1613037093290409987",1511
"Wed Jan 11 04:56:26 +0000 2023","1613037093076504576",0
"Wed Jan 11 04:56:26 +0000 2023","1613037093063737345",0
"Wed Jan 11 04:56:26 +0000 2023","1613037092866588677",29
"Wed Jan 11 04:56:25 +0000 2023","1613037090870276096",0
"Wed Jan 11 04:56:25 +0000 2023","1613037090115133443",0
"Wed Jan 11 04:56:25 +0000 2023","1613037087670034434",0
"Wed Jan 11 04:56:25 +0000 2023","1613037087116201984",0
"Wed Jan 11 04:56:24 +0000 2023","1613037085866315777",7595
"Wed Jan 11 04:56:24 +0000 2023","1613037084117278724",428
"Wed Jan 11 04:56:24 +0000 2023","1613037083328651280",74
"Wed Jan 11 04:56:24 +0000 2023","1613037083224051712",0
"Wed Jan 11 04:56:24 +0000 2023","1613037083018547200",0
"Wed Jan 11 04:56:23 +0000 2023","1613037082552995841",0
"Wed Jan 11 04:56:23 +0000 2023","1613037082183598080",3874
"Wed Jan 11 04:56:23 +0000 2023","1613037082112581632",63
"Wed Jan 11 04:56:23 +0000 2023","1613037079184670721",525
"Wed Jan 11 04:56:23 +0000 2023","1613037079134437376",8820
"Wed Jan 11 04:56:22 +0000 2023","1613037078702432256",0
"Wed Jan 11 04:56:22 +0000 2023","1613037077632892929",668
"Wed Jan 11 04:56:22 +0000 2023","1613037076789985280",0
"Wed Jan 11 04:56:22 +0000 2023","1613037074600415232",0
"Wed Jan 11 04:56:21 +0000 2023","1613037071634923522",1094
"Wed Jan 11 04:56:20 +0000 2023","1613037069605175296",0
"Wed Jan 11 04:56:20 +0000 2023","1613037069214912514",7595
"Wed Jan 11 04:56:20 +0000 2023","1613037068808065024",750
"Wed Jan 11 04:56:20 +0000 2023","1613037068023730177",7720
"Wed Jan 11 04:56:20 +0000 2023","1613037067822563328",4416
"Wed Jan 11 04:56:20 +0000 2023","1613037067683905536",45
"Wed Jan 11 04:56:20 +0000 2023","1613037067340058625",5239
"Wed Jan 11 04:56:20 +0000 2023","1613037066706718724",0
"Wed Jan 11 04:56:20 +0000 2023","1613037066694135808",1
