created_at,id_str,retweet_count
"Wed Jan 11 05:12:14 +0000 2023","1613041070685691905",20610
"Wed Jan 11 05:12:13 +0000 2023","1613041064826241024",497
"Wed Jan 11 05:12:13 +0000 2023","1613041064675508224",8197
"Wed Jan 11 05:12:12 +0000 2023","1613041062649413632",26
"Wed Jan 11 05:12:12 +0000 2023","1613041062540460037",8966
"Wed Jan 11 05:12:12 +0000 2023","1613041060497727498",2311
"Wed Jan 11 05:12:12 +0000 2023","1613041059369738240",14
"Wed Jan 11 05:12:11 +0000 2023","1613041058950316033",1
"Wed Jan 11 05:12:11 +0000 2023","1613041058568458240",4412
"Wed Jan 11 05:12:11 +0000 2023","1613041058484715521",20
"Wed Jan 11 05:12:11 +0000 2023","1613041057352273927",1
"Wed Jan 11 05:12:11 +0000 2023","1613041056685215746",0
"Wed Jan 11 05:12:11 +0000 2023","1613041056165072896",2595
"Wed Jan 11 05:12:11 +0000 2023","1613041056119148544",2
"Wed Jan 11 05:12:11 +0000 2023","1613041055435296769",0
"Wed Jan 11 05:12:10 +0000 2023","1613041054491738112",0
"Wed Jan 11 05:12:10 +0000 2023","1613041052361043969",6
"Wed Jan 11 05:12:10 +0000 2023","1613041051618385920",3131
"Wed Jan 11 05:12:09 +0000 2023","1613041049932550144",3839
"Wed Jan 11 05:12:09 +0000 2023","1613041048808218625",0
"Wed Jan 11 05:12:09 +0000 2023","1613041048376299521",2514
"Wed Jan 11 05:12:09 +0000 2023","1613041048355508225",2595
"Wed Jan 11 05:12:09 +0000 2023","1613041047067676672",0
"Wed Jan 11 05:12:09 +0000 2023","1613041046660808704",2521
"Wed Jan 11 05:12:08 +0000 2023","1613041045800886272",383
"Wed Jan 11 05:12:08 +0000 2023","1613041043770933248",497
"Wed Jan 11 05:12:08 +0000 2023","1613041042525241344",30
"Wed Jan 11 05:12:07 +0000 2023","1613041041392689153",2422
"Wed Jan 11 05:12:07 +0000 2023","1613041041086550016",3839
"Wed Jan 11 05:12:07 +0000 2023","1613041040671526914",1
"Wed Jan 11 05:12:07 +0000 2023","1613041040209973251",2311
"Wed Jan 11 05:12:07 +0000 2023","1613041039522279425",9
"Wed Jan 11 05:12:06 +0000 2023","1613041034576920577",0
"Wed Jan 11 05:12:05 +0000 2023","1613041030580043776",1508
