created_at,id_str,retweet_count
"Wed Jan 11 04:45:17 +0000 2023","1613034287871188992",287
"Wed Jan 11 04:45:17 +0000 2023","1613034287305220096",0
"Wed Jan 11 04:45:17 +0000 2023","1613034285661040640",383
"Wed Jan 11 04:45:16 +0000 2023","1613034285270814721",108
"Wed Jan 11 04:45:16 +0000 2023","1613034285241344000",0
"Wed Jan 11 04:45:16 +0000 2023","1613034285170315265",1351
"Wed Jan 11 04:45:16 +0000 2023","1613034284771692546",0
"Wed Jan 11 04:45:16 +0000 2023","1613034284750868481",2516
"Wed Jan 11 04:45:16 +0000 2023","1613034283358388224",0
"Wed Jan 11 04:45:16 +0000 2023","1613034283035201536",8820
"Wed Jan 11 04:45:16 +0000 2023","1613034281583910913",1
"Wed Jan 11 04:45:15 +0000 2023","1613034279302475776",174
"Wed Jan 11 04:45:15 +0000 2023","1613034279063232512",8979
"Wed Jan 11 04:45:15 +0000 2023","1613034278710874112",0
"Wed Jan 11 04:45:15 +0000 2023","1613034278111305730",2614
"Wed Jan 11 04:45:15 +0000 2023","1613034277209505794",7610
"Wed Jan 11 04:45:14 +0000 2023","1613034276739756032",8979
"Wed Jan 11 04:45:14 +0000 2023","1613034276492025857",967
"Wed Jan 11 04:45:14 +0000 2023","1613034274734895104",0
"Wed Jan 11 04:45:14 +0000 2023","1613034274613256192",43
"Wed Jan 11 04:45:14 +0000 2023","1613034274470461440",3843
"Wed Jan 11 04:45:14 +0000 2023","1613034273967321090",882
"Wed Jan 11 04:45:14 +0000 2023","1613034273501503493",766
"Wed Jan 11 04:45:13 +0000 2023","1613034271710797831",581
"Wed Jan 11 04:45:13 +0000 2023","1613034271186321410",0
"Wed Jan 11 04:45:13 +0000 2023","1613034269135474689",0
"Wed Jan 11 04:45:13 +0000 2023","1613034268631900160",8979
"Wed Jan 11 04:45:12 +0000 2023","1613034267780739074",0
"Wed Jan 11 04:45:12 +0000 2023","1613034267621363713",540
"Wed Jan 11 04:45:12 +0000 2023","1613034266656669698",3
"Wed Jan 11 04:45:12 +0000 2023","1613034266388008960",0
"Wed Jan 11 04:45:12 +0000 2023","1613034265784057857",4424
"Wed Jan 11 04:45:11 +0000 2023","1613034264156835843",40
"Wed Jan 11 04:45:11 +0000 2023","1613034263363964930",260
"Wed Jan 11 04:45:11 +0000 2023","1613034262848245767",0
"Wed Jan 11 04:45:11 +0000 2023","1613034262307155968",4777
"Wed Jan 11 04:45:11 +0000 2023","1613034261157748736",15
"Wed Jan 11 04:45:11 +0000 2023","1613034261145128960",5243
"Wed Jan 11 04:45:11 +0000 2023","1613034261006913537",6
"Wed Jan 11 04:45:11 +0000 2023","1613034260641845249",2072
"Wed Jan 11 04:45:11 +0000 2023","1613034260495011840",4424
"Wed Jan 11 04:45:10 +0000 2023","1613034259513593856",7611
"Wed Jan 11 04:45:10 +0000 2023","1613034258523725824",0
"Wed Jan 11 04:45:10 +0000 2023","1613034257626300417",109
"Wed Jan 11 04:45:10 +0000 2023","1613034257567580167",19841
"Wed Jan 11 04:45:10 +0000 2023","1613034257194049536",2981
"Wed Jan 11 04:45:09 +0000 2023","1613034255743082501",1095
"Wed Jan 11 04:45:09 +0000 2023","1613034255394963458",0
"Wed Jan 11 04:45:09 +0000 2023","1613034254568460290",0
"Wed Jan 11 04:45:08 +0000 2023","1613034251519414272",294
"Wed Jan 11 04:45:08 +0000 2023","1613034250915446787",2427
"Wed Jan 11 04:45:08 +0000 2023","1613034250705551361",637
"Wed Jan 11 04:45:08 +0000 2023","1613034250000896000",4251
"Wed Jan 11 04:45:08 +0000 2023","1613034249640366081",1254
"Wed Jan 11 04:45:08 +0000 2023","1613034249585852416",0
"Wed Jan 11 04:45:08 +0000 2023","1613034249048973314",0
"Wed Jan 11 04:45:08 +0000 2023","1613034248788746241",216
"Wed Jan 11 04:45:07 +0000 2023","1613034245693534210",1261
"Wed Jan 11 04:45:07 +0000 2023","1613034245638983680",0
"Wed Jan 11 04:45:07 +0000 2023","1613034245005496320",0
"Wed Jan 11 04:45:07 +0000 2023","1613034243852230656",613
"Wed Jan 11 04:45:06 +0000 2023","1613034242455535616",4216
"Wed Jan 11 04:45:06 +0000 2023","1613034241234706435",0
"Wed Jan 11 04:45:05 +0000 2023","1613034237304934400",3
